Collection,Variant,Item Number,Price,Currency,Availability,URL,Last Seen
Astronomia Art,AS912.30.AA.AB.A,AS912.30.AA.AB.A,968000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-art/panda-white-gold-baguette,2026-08-13 10:00:11
Astronomia Art,AS912.40.AA.AA.A,AS912.40.AA.AA.A,968000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-art/static-panda-rose-gold-baguette,2026-08-13 10:00:11
Astronomia Art,AT100.30.AA.UD.B,AT100.30.AA.UD.B,660000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-art/stallion-white-gold,2026-08-13 10:00:11
Astronomia Art,AT100.40.AA.UB.A,AT100.40.AA.UB.A,660000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-art/tigers-rose-gold,2026-08-13 10:00:11
Astronomia Art,AT100.40.AC.AB.B,AT100.40.AC.AB.B,594000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-art/zodiac-rose-gold,2026-08-13 10:00:11
Astronomia Art,AT102.30.AA.UA.A,AT102.30.AA.UA.A,726000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-art/moscow-white-gold,2026-08-13 10:00:11
Astronomia Art,AT102.30.AA.UB.A,AT102.30.AA.UB.A,726000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-art/india-white-gold,2026-08-13 10:00:11
Astronomia Art,AT102.40.AA.UC.A,AT102.40.AA.UC.A,660000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-art/international,2026-08-13 10:00:11
Astronomia Art,AT102.40.AB.UB.A,AT102.40.AB.UB.A,660000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-art/three-wise-monkeys-temple-rose-gold,2026-08-13 10:00:11
Astronomia Art,AT102.40.AE.AA.A,AT102.40.AE.AA.A,726000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-art/4-skulls-rose-gold,2026-08-13 10:00:11
Astronomia Art,AT102.40.AJ.UA.A,AT102.40.AJ.UA.A,880000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-art/phoenix,2026-08-13 10:00:11
Astronomia Art,AT114.40.AA.UC.A,AT114.40.AA.UC.A,660000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-art/4-skulls-rose-gold,2026-08-13 10:00:11
Astronomia Art,AT114.40.AA.UD.A,AT114.40.AA.UD.A,660000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-art/4-skulls-rose-gold-ii,2026-08-13 10:00:11
Astronomia Art,AT120.40.OU.SD.B,AT120.40.OU.SD.B,968000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-art/octopus-rose-gold,2026-08-13 10:00:11
Astronomia Art,AT802.40.BD.UA.A,AT802.40.BD.UA.A,1210000,USD,PRICE AVAILABLE,https://jacobandco.com/timepieces/astronomia-art/octopus-rose-gold-baguette,2026-08-13 10:00:11
