Unique Key,Product ID,Variant ID,SKU,Product,Variant,Product Type,Vendor,Collections,Price,Compare At Price,Currency,Available,Option 1,Option 2,Option 3,Handle,URL,Last Seen
VARIANT:41913034932360,7893479751816,41913034932360,92355158,Carabin Lock Bracelet,15,,Hand crafted in 18k white gold,Carabin,15700,,USD,YES,15,,,carabin-bracelet-white-gold,https://jacobandco.shop/products/carabin-bracelet-white-gold,2026-08-19 05:22:54
VARIANT:41913047023752,7893492138120,41913047023752,92355158,Carabin Lock Bracelet,15,,Hand crafted in 18k rose gold,Carabin,15700,,USD,YES,15,,,carabin-bracelet-rose-gold,https://jacobandco.shop/products/carabin-bracelet-rose-gold,2026-08-19 05:22:54
VARIANT:41913063604360,7893504983176,41913063604360,,Carabin Lock Bracelet,15,,Hand crafted in 18k yellow gold,Carabin,15700,,USD,YES,15,,,carabin-bracelet-yellow-gold,https://jacobandco.shop/products/carabin-bracelet-yellow-gold,2026-08-19 05:22:54
VARIANT:41913034965128,7893479751816,41913034965128,92354977,Carabin Lock Bracelet,16,,Hand crafted in 18k white gold,Carabin,15700,,USD,YES,16,,,carabin-bracelet-white-gold,https://jacobandco.shop/products/carabin-bracelet-white-gold,2026-08-19 05:22:54
VARIANT:41913047056520,7893492138120,41913047056520,92354977,Carabin Lock Bracelet,16,,Hand crafted in 18k rose gold,Carabin,15700,,USD,YES,16,,,carabin-bracelet-rose-gold,https://jacobandco.shop/products/carabin-bracelet-rose-gold,2026-08-19 05:22:54
VARIANT:41913063637128,7893504983176,41913063637128,,Carabin Lock Bracelet,16,,Hand crafted in 18k yellow gold,Carabin,15700,,USD,YES,16,,,carabin-bracelet-yellow-gold,https://jacobandco.shop/products/carabin-bracelet-yellow-gold,2026-08-19 05:22:54
VARIANT:41913034997896,7893479751816,41913034997896,92354978,Carabin Lock Bracelet,17,,Hand crafted in 18k white gold,Carabin,15700,,USD,YES,17,,,carabin-bracelet-white-gold,https://jacobandco.shop/products/carabin-bracelet-white-gold,2026-08-19 05:22:54
VARIANT:41913047089288,7893492138120,41913047089288,92354978,Carabin Lock Bracelet,17,,Hand crafted in 18k rose gold,Carabin,15700,,USD,YES,17,,,carabin-bracelet-rose-gold,https://jacobandco.shop/products/carabin-bracelet-rose-gold,2026-08-19 05:22:54
VARIANT:41913063669896,7893504983176,41913063669896,,Carabin Lock Bracelet,17,,Hand crafted in 18k yellow gold,Carabin,15700,,USD,YES,17,,,carabin-bracelet-yellow-gold,https://jacobandco.shop/products/carabin-bracelet-yellow-gold,2026-08-19 05:22:54
VARIANT:41913035030664,7893479751816,41913035030664,92354979,Carabin Lock Bracelet,18,,Hand crafted in 18k white gold,Carabin,15700,,USD,YES,18,,,carabin-bracelet-white-gold,https://jacobandco.shop/products/carabin-bracelet-white-gold,2026-08-19 05:22:54
