Changed At,Unique Key,SKU,Variant ID,Product,Variant,Old Price,New Price,Currency,URL
2026-09-05 06:51:09,VARIANT:42868856619144,92457151,42868856619144,Celestial Necklace,Default Title,17600,14300,USD,https://jacobandco.shop/products/celestial-pendant
2026-09-05 06:51:09,VARIANT:42304776798344,92457272,42304776798344,Cuban Link Bracelet,18cm,30500,18500,USD,https://jacobandco.shop/products/cuban-link-bracelet-3
2026-09-05 06:51:09,VARIANT:42304778666120,91945249,42304778666120,Cuban Link Bracelet,21cm,43600,29000,USD,https://jacobandco.shop/products/cuban-link-bracelet-1
2026-09-05 06:51:09,VARIANT:42304779518088,91843266,42304779518088,Cuban Link Bracelet,21cm,45800,36500,USD,https://jacobandco.shop/products/cuban-link-bracelet-2
2026-09-05 06:51:09,VARIANT:42304780173448,92150008,42304780173448,Cuban Link Bracelet,21cm,45800,36500,USD,https://jacobandco.shop/products/cuban-link-bracelet-5
2026-09-05 06:51:09,VARIANT:42304781549704,92148427,42304781549704,Cuban Link Bracelet,21cm,65500,50500,USD,https://jacobandco.shop/products/cuban-link-bracelet-4
2026-09-05 06:51:09,VARIANT:42304783089800,92150010,42304783089800,Cuban Link Bracelet,21cm,65500,50500,USD,https://jacobandco.shop/products/cuban-link-bracelet-6
2026-09-05 06:51:09,VARIANT:42080272744584,92457340,42080272744584,Cuban Link Necklace,Default Title,63800,40000,USD,https://jacobandco.shop/products/cuban-link-necklace
2026-09-05 06:51:09,VARIANT:42299310473352,92252267,42299310473352,Evil Eye Diamond Bracelet,18cm,3800,3300,USD,https://jacobandco.shop/products/evil-eye-bracelet-3
2026-09-05 06:51:09,VARIANT:42299333935240,92252263,42299333935240,Evil Eye Diamond Bracelet,18cm,3800,3300,USD,https://jacobandco.shop/products/evil-eye-bracelet-6
2026-09-05 06:51:09,VARIANT:42299336163464,92252269,42299336163464,Evil Eye Diamond Bracelet,18cm,3800,3300,USD,https://jacobandco.shop/products/evil-eye-bracelet-8
2026-09-05 06:51:09,VARIANT:42299338489992,92252260,42299338489992,Evil Eye Diamond Bracelet,18cm,3800,3300,USD,https://jacobandco.shop/products/evil-eye-bracelet
2026-09-05 06:51:09,VARIANT:42304712507528,92561990,42304712507528,Evil Eye Diamond Bracelet,18cm,2800,2400,USD,https://jacobandco.shop/products/evil-eye-bracelet-1
2026-09-05 06:51:09,VARIANT:42304713621640,92353778,42304713621640,Evil Eye Diamond Bracelet,18cm,2800,2600,USD,https://jacobandco.shop/products/evil-eye-bracelet-7
2026-09-05 06:51:09,VARIANT:42304714571912,92458120,42304714571912,Evil Eye Diamond Bracelet,18cm,2800,2600,USD,https://jacobandco.shop/products/evil-eye-bracelet-4
2026-09-05 06:51:09,VARIANT:42923146281096,92353779,42923146281096,Evil Eye Diamond Bracelet,18cm,2800,2600,USD,https://jacobandco.shop/products/evil-eye-diamond-bracelet-green-eye
2026-09-05 06:51:09,VARIANT:42923162042504,92353776,42923162042504,Evil Eye Diamond Bracelet,18cm,2800,2600,USD,https://jacobandco.shop/products/evil-eye-diamond-bracelet-blue-eye-in-white-gold
2026-09-05 06:51:09,VARIANT:40138238886024,92252272,40138238886024,Evil Eye Diamond Necklace,Default Title,5000,3800,USD,https://jacobandco.shop/products/evil-eye-necklace-2
2026-09-05 06:51:09,VARIANT:40264876785800,92560659,40264876785800,Evil Eye Diamond Necklace,Default Title,5000,3800,USD,https://jacobandco.shop/products/evil-eye-necklace-4
2026-09-05 06:51:09,VARIANT:40264985903240,92457238,40264985903240,Evil Eye Diamond Necklace,Default Title,12600,9700,USD,https://jacobandco.shop/products/evil-eye-necklace-3
2026-09-05 06:51:09,VARIANT:41887855181960,92252276,41887855181960,Evil Eye Diamond Necklace,Default Title,5000,3800,USD,https://jacobandco.shop/products/evil-eye-necklace
2026-09-05 06:51:09,VARIANT:41940806664328,92252270,41940806664328,Evil Eye Diamond Necklace,Default Title,5000,3800,USD,https://jacobandco.shop/products/evil-eye-diamond-necklace-rose-gold-blue-enamel
2026-09-05 06:51:09,VARIANT:42299342487688,92355122,42299342487688,Hamsa Diamond Bracelet,18cm,6400,5400,USD,https://jacobandco.shop/products/hamsa-bracelet
2026-09-05 06:51:09,VARIANT:42299345633416,92458662,42299345633416,Hamsa Diamond Bracelet,18cm,6400,5400,USD,https://jacobandco.shop/products/hamsa-bracelet-black
2026-09-05 06:51:09,VARIANT:42299399831688,92355966,42299399831688,Hamsa Diamond Bracelet,18cm,6400,5400,USD,https://jacobandco.shop/products/hamsa-bracelet-1
2026-09-05 06:51:09,VARIANT:42299407728776,92355968,42299407728776,Hamsa Diamond Bracelet,18cm,6400,5400,USD,https://jacobandco.shop/products/hamsa-bracelet-red
2026-09-05 06:51:09,VARIANT:41882564788360,92457168,41882564788360,Hamsa Diamond Necklace,Default Title,11200,9500,USD,https://jacobandco.shop/products/hamsa-necklace-white-gold
2026-09-05 06:51:09,VARIANT:41882642874504,92355460,41882642874504,Hamsa Diamond Necklace,Default Title,11200,9500,USD,https://jacobandco.shop/products/hamsa-necklace-rose-gold
2026-09-05 06:51:09,VARIANT:42543699132552,91738809,42543699132552,Hematite Bracelet,15 cm,15400,17200,USD,https://jacobandco.shop/products/hematite-bracelet-4
2026-09-05 06:51:09,VARIANT:42543711748232,91637512,42543711748232,Hematite Bracelet,15 cm,11800,12500,USD,https://jacobandco.shop/products/hematite-bracelet-2
2026-09-05 06:51:09,VARIANT:42543699165320,91740299,42543699165320,Hematite Bracelet,16 cm,16300,17200,USD,https://jacobandco.shop/products/hematite-bracelet-4
2026-09-05 06:51:09,VARIANT:41112456167560,91843552,41112456167560,Hematite Bracelet,17 cm,13200,12500,USD,https://jacobandco.shop/products/hematite-bracelet-2
2026-09-05 06:51:09,VARIANT:41112456200328,91637515,41112456200328,Hematite Bracelet,18 cm,13900,12500,USD,https://jacobandco.shop/products/hematite-bracelet-2
2026-09-05 06:51:09,VARIANT:41123484663944,92149084,41123484663944,Hematite Bracelet,18 cm,18100,17200,USD,https://jacobandco.shop/products/hematite-bracelet-4
2026-09-05 06:51:09,VARIANT:41112456233096,92149088,41112456233096,Hematite Bracelet,19 cm,14500,12500,USD,https://jacobandco.shop/products/hematite-bracelet-2
2026-09-05 06:51:09,VARIANT:41123484696712,92149085,41123484696712,Hematite Bracelet,19 cm,19000,17200,USD,https://jacobandco.shop/products/hematite-bracelet-4
2026-09-05 06:51:09,VARIANT:41112456265864,92149089,41112456265864,Hematite Bracelet,20 cm,15200,12500,USD,https://jacobandco.shop/products/hematite-bracelet-2
2026-09-05 06:51:09,VARIANT:43108488806536,,43108488806536,Hematite Bracelet,20 cm,19000,17200,USD,https://jacobandco.shop/products/hematite-bracelet-4
2026-09-05 06:51:09,VARIANT:43952715858056,91944914,43952715858056,Infinia Earrings,Default Title,117000,91000,USD,https://jacobandco.shop/products/infinia-earrings-pink-sapphires
2026-09-05 06:51:09,VARIANT:42493721051272,92355286,42493721051272,Jacob's Code Bracelet,18,4100,16200,USD,https://jacobandco.shop/products/jacobs-code-bracelet-brown-stainless-steel
2026-09-05 06:51:09,VARIANT:42493726851208,92355293,42493726851208,Jacob's Code Bracelet,18,4100,16200,USD,https://jacobandco.shop/products/jacobs-code-bracelet-blue-stainless-steel
2026-09-05 06:51:09,VARIANT:42493736648840,92355290,42493736648840,Jacob's Code Bracelet,18,4100,16200,USD,https://jacobandco.shop/products/jacobs-code-bracelet-red-stainless-steel
2026-09-05 06:51:09,VARIANT:42493721084040,92355287,42493721084040,Jacob's Code Bracelet,19,4100,16200,USD,https://jacobandco.shop/products/jacobs-code-bracelet-brown-stainless-steel
2026-09-05 06:51:09,VARIANT:42493726883976,92355294,42493726883976,Jacob's Code Bracelet,19,4100,16200,USD,https://jacobandco.shop/products/jacobs-code-bracelet-blue-stainless-steel
2026-09-05 06:51:09,VARIANT:42493736681608,92355291,42493736681608,Jacob's Code Bracelet,19,4100,16200,USD,https://jacobandco.shop/products/jacobs-code-bracelet-red-stainless-steel
2026-09-05 06:51:09,VARIANT:42493721116808,92355288,42493721116808,Jacob's Code Bracelet,20,4100,16200,USD,https://jacobandco.shop/products/jacobs-code-bracelet-brown-stainless-steel
2026-09-05 06:51:09,VARIANT:42493726916744,92355295,42493726916744,Jacob's Code Bracelet,20,4100,16200,USD,https://jacobandco.shop/products/jacobs-code-bracelet-blue-stainless-steel
2026-09-05 06:51:09,VARIANT:42493736714376,92355292,42493736714376,Jacob's Code Bracelet,20,4100,16200,USD,https://jacobandco.shop/products/jacobs-code-bracelet-red-stainless-steel
2026-09-05 06:51:09,VARIANT:43966341349512,91328341,43966341349512,Jezebel Diamond Earrings,Default Title,127000,127103,USD,https://jacobandco.shop/products/jezebel-diamond-earrings
2026-09-05 06:51:09,VARIANT:42384220553352,92457713,42384220553352,Love Lockdown Diamond Choker,14,160000,180000,USD,https://jacobandco.shop/products/love-lockdown-diamond-choker-rose-gold
2026-09-05 06:51:09,VARIANT:42384243851400,92457714,42384243851400,Love Lockdown Diamond Choker,14,160000,180000,USD,https://jacobandco.shop/products/love-lockdown-diamond-choker-white-gold
