Changed At,Collection,Variant,Item Number,Old Price,New Price,Currency,URL
2026-08-13 10:00:13,Black Dlc Titanium And Forged Carbon,EC333.29.AA.AA.A,EC333.29.AA.AA.A,46200.0,46200,USD,https://jacobandco.com/timepieces//black-dlc-titanium-and-forged-carbon
2026-08-13 10:00:13,Bugatti Calandre,BU900.82.AA.AA.AAAAA,BU900.82.AA.AA.AAAAA,264000.0,264000,USD,https://jacobandco.com/timepieces/bugatti-calandre/bugatti-calandre
2026-08-13 10:00:13,Bugatti Chiron Tourbillon,BU200.20.AE.AB.B,BU200.20.AE.AB.B,341000.0,341000,USD,https://jacobandco.com/timepieces/bugatti-chiron-tourbillon/titanium
2026-08-13 10:00:13,Bugatti Chiron Tourbillon,BU200.20.AK.AB.B,BU200.20.AK.AB.B,341000.0,341000,USD,https://jacobandco.com/timepieces/bugatti-chiron-tourbillon/blue-titanium
2026-08-13 10:00:13,Bugatti Chiron Tourbillon,BU200.20.AQ.AA.A,BU200.20.AQ.AA.A,341000.0,341000,USD,https://jacobandco.com/timepieces/bugatti-chiron-tourbillon/polished-titanium
2026-08-13 10:00:13,Bugatti Chiron Tourbillon,BU200.21.AE.AB.B,BU200.21.AE.AB.B,341000.0,341000,USD,https://jacobandco.com/timepieces/bugatti-chiron-tourbillon/black-titanium-ii
2026-08-13 10:00:13,Bugatti Chiron Tourbillon,BU200.21.AH.AB.B,BU200.21.AH.AB.B,341000.0,341000,USD,https://jacobandco.com/timepieces/bugatti-chiron-tourbillon/black-titanium
2026-08-13 10:00:13,Bugatti Chiron Tourbillon,BU200.30.AA.AA.B,BU200.30.AA.AA.B,451000.0,451000,USD,https://jacobandco.com/timepieces/bugatti-chiron-tourbillon/white-gold
2026-08-13 10:00:13,Bugatti Chiron Tourbillon,BU200.40.AA.AA.C,BU200.40.AA.AA.C,445500.0,445500,USD,https://jacobandco.com/timepieces/bugatti-chiron-tourbillon/rose-gold
2026-08-13 10:00:13,Bugatti Chiron Tourbillon,BU230.24.AA.UA.A,BU230.24.AA.UA.A,385000.0,385000,USD,https://jacobandco.com/timepieces/bugatti-chiron-tourbillon/blue-carbon-fiber
2026-08-13 10:00:13,Bugatti Chiron Tourbillon,BU240.95.AA.AA.A,BU240.95.AA.AA.A,440000.0,440000,USD,https://jacobandco.com/timepieces/bugatti-chiron-tourbillon/rose-gold-white-ceramic
2026-08-13 10:00:13,Bugatti Chiron Tourbillon,BU240.95.AB.AA.A,BU240.95.AB.AA.A,418000.0,418000,USD,https://jacobandco.com/timepieces/bugatti-chiron-tourbillon/titanium-white-ceramic
2026-08-13 10:00:13,Bugatti Chiron Tourbillon Baguette,BU800.30.AD.UC.A,BU800.30.AD.UC.A,1100000.0,1100000,USD,https://jacobandco.com/timepieces/bugatti-chiron-tourbillon-baguette/rainbow
2026-08-13 10:00:13,Bugatti Chiron Tourbillon Baguette,BU800.30.AJ.UA.A,BU800.30.AJ.UA.A,1180000.0,1180000,USD,https://jacobandco.com/timepieces/bugatti-chiron-tourbillon-baguette/white-gold-diamonds-rubies
2026-08-13 10:00:13,Bugatti Chiron Tourbillon Baguette,BU800.30.AM.UA.A,BU800.30.AM.UA.A,1100000.0,1100000,USD,https://jacobandco.com/timepieces/bugatti-chiron-tourbillon-baguette/white-gold-diamonds-blue-sapphires
2026-08-13 10:00:13,Bugatti Chiron Tourbillon Baguette,BU800.30.BD.BD.B,BU800.30.BD.BD.B,940000.0,940000,USD,https://jacobandco.com/timepieces/bugatti-chiron-tourbillon-baguette/white-gold
2026-08-13 10:00:13,Bugatti Chiron Tourbillon Baguette,BU800.40.BD.BD.C,BU800.40.BD.BD.C,1012000.0,1012000,USD,https://jacobandco.com/timepieces/bugatti-chiron-tourbillon-baguette/rose-gold
2026-08-13 10:00:13,Bugatti Chiron Tourbillon Sapphire Crystal,BU210.80.AA.AA.B,BU210.80.AA.AA.B,1430000.0,1430000,USD,https://jacobandco.com/timepieces/bugatti-chiron-tourbillon-sapphire-crystal/clear
2026-08-13 10:00:13,Bugatti Chiron Tourbillon Sapphire Crystal,BU210.80.AC.AB.B,BU210.80.AC.AB.B,1430000.0,1430000,USD,https://jacobandco.com/timepieces/bugatti-chiron-tourbillon-sapphire-crystal/red-accents
2026-08-13 10:00:13,Bugatti Chiron Tourbillon Sapphire Crystal,BU210.80.AF.UA.B,BU210.80.AF.UA.B,1650000.0,1650000,USD,https://jacobandco.com/timepieces/bugatti-chiron-tourbillon-sapphire-crystal/yellow-matte
2026-08-13 10:00:13,Bugatti Chiron Tourbillon Sapphire Crystal,BU210.80.AH.UA.B,BU210.80.AH.UA.B,1650000.0,1650000,USD,https://jacobandco.com/timepieces/bugatti-chiron-tourbillon-sapphire-crystal/blue-sapphire-crystal
2026-08-13 10:00:13,Bugatti Chiron Tourbillon Sapphire Crystal,BU210.80.AL.UA.B,BU210.80.AL.UA.B,1650000.0,1650000,USD,https://jacobandco.com/timepieces/bugatti-chiron-tourbillon-sapphire-crystal/green-sapphire-crystal
2026-08-13 10:00:13,Bugatti Chiron Tourbillon Sapphire Crystal,BU210.80.AM.UB.B,BU210.80.AM.UB.B,1650000.0,1650000,USD,https://jacobandco.com/timepieces/bugatti-chiron-tourbillon-sapphire-crystal/blue-sapphire-crystal-with-rose-gold-backplate
2026-08-13 10:00:13,Bugatti Tourbillon,BU300.20.AA.AA.A,BU300.20.AA.AA.A,374000.0,374000,USD,https://jacobandco.com/timepieces/bugatti-tourbillon/polished-titanium
2026-08-13 10:00:13,Bugatti Tourbillon,BU300.21.AA.AA.B,BU300.21.AA.AA.B,374000.0,374000,USD,https://jacobandco.com/timepieces/bugatti-tourbillon/black-titanium
2026-08-13 10:00:13,Bugatti Tourbillon,BU300.22.AA.AA.B,BU300.22.AA.AA.B,374000.0,374000,USD,https://jacobandco.com/timepieces/bugatti-tourbillon/blue-pvd-titanium
2026-08-13 10:00:13,Bugatti Tourbillon,BU300.40.AA.AA.A,BU300.40.AA.AA.A,429000.0,429000,USD,https://jacobandco.com/timepieces/bugatti-tourbillon/rose-gold
2026-08-13 10:00:13,Bugatti Tourbillon Baguette,BU820.30.BD.AA.A,BU820.30.BD.AA.A,1056000.0,1056000,USD,https://jacobandco.com/timepieces/bugatti-tourbillon-baguette/white-gold
2026-08-13 10:00:13,Bugatti Tourbillon Baguette,BU820.40.BD.AA.A,BU820.40.BD.AA.A,1056000.0,1056000,USD,https://jacobandco.com/timepieces/bugatti-tourbillon-baguette/rose-gold
2026-08-13 10:00:13,Bugatti Tourbillon Sapphire Crystal,BU310.80.AA.AA.A,BU310.80.AA.AA.A,1240000.0,1240000,USD,https://jacobandco.com/timepieces/bugatti-tourbillon-sapphire-crystal/clear-green
2026-08-13 10:00:13,Bugatti Tourbillon Sapphire Crystal,BU310.80.AB.AA.A,BU310.80.AB.AA.A,1200000.0,1200000,USD,https://jacobandco.com/timepieces/bugatti-tourbillon-sapphire-crystal/clear-blue
2026-08-13 10:00:13,Bugatti Tourbillon Sapphire Crystal,BU310.80.AC.AA.A,BU310.80.AC.AA.A,1240000.0,1240000,USD,https://jacobandco.com/timepieces/bugatti-tourbillon-sapphire-crystal/clear
2026-08-13 10:00:13,Epic X Baguette,EX100.43.BA.AA.A,EX100.43.BA.AA.A,170000.0,170000,USD,https://jacobandco.com/timepieces/epic-x-baguette/yellow
2026-08-13 10:00:13,Epic X Baguette,EX100.43.BA.AB.A,EX100.43.BA.AB.A,170000.0,170000,USD,https://jacobandco.com/timepieces/epic-x-baguette/green
2026-08-13 10:00:13,Epic X Baguette,EX100.43.BA.BD.A,EX100.43.BA.BD.A,198000.0,198000,USD,https://jacobandco.com/timepieces/epic-x-baguette/white-diamonds
2026-08-13 10:00:13,Epic X Baguette,EX100.43.BC.AA.A,EX100.43.BC.AA.A,210000.0,210000,USD,https://jacobandco.com/timepieces/epic-x-baguette/tsavorites
2026-08-13 10:00:13,Epic X Baguette,EX100.43.BD.AA.A,EX100.43.BD.AA.A,170000.0,170000,USD,https://jacobandco.com/timepieces/epic-x-baguette/red
2026-08-13 10:00:13,Epic X Baguette,EX100.43.BD.AB.A,EX100.43.BD.AB.A,170000.0,170000,USD,https://jacobandco.com/timepieces/epic-x-baguette/sky-blue
2026-08-13 10:00:13,Epic X Baguette,EX100.43.BD.BF.A,EX100.43.BD.BF.A,198000.0,198000,USD,https://jacobandco.com/timepieces/epic-x-baguette/rainbow
2026-08-13 10:00:13,Epic X Baguette,EX100.43.BE.AA.A,EX100.43.BE.AA.A,210000.0,210000,USD,https://jacobandco.com/timepieces/epic-x-baguette/orange-sapphires
2026-08-13 10:00:13,Epic X Baguette,EX100.43.BF.AA.A,EX100.43.BF.AA.A,210000.0,210000,USD,https://jacobandco.com/timepieces/epic-x-baguette/yellow-sapphires
2026-08-13 10:00:13,Epic X Bridges,EX120.10.AB.AB.B,EX120.10.AB.AB.B,28600.0,28600,USD,https://jacobandco.com/timepieces/epic-x-bridges/stainless-steel-blue
2026-08-13 10:00:13,Epic X Bridges,EX120.10.AB.AB.B10AA,EX120.10.AB.AB.B10AA,31900.0,31900,USD,https://jacobandco.com/timepieces/epic-x-bridges/stainless-steel-bracelet-blue
2026-08-13 10:00:13,Epic X Bridges,EX120.10.AC.AA.A10AA,EX120.10.AC.AA.A10AA,31900.0,31900,USD,https://jacobandco.com/timepieces/epic-x-bridges/stainless-steel-light-blue-gray-movement-bracelet
2026-08-13 10:00:13,Epic X Bridges,EX120.10.AC.AA.B,EX120.10.AC.AA.B,28600.0,28600,USD,https://jacobandco.com/timepieces/epic-x-bridges/stainless-steel-light-blue-gray-movement
2026-08-13 10:00:13,Epic X Bridges,EX120.10.AC.AB.A10AA,EX120.10.AC.AB.A10AA,31900.0,31900,USD,https://jacobandco.com/timepieces/epic-x-bridges/stainless-steel-light-blue-bracelet
2026-08-13 10:00:13,Epic X Bridges,EX120.10.AC.AB.B,EX120.10.AC.AB.B,28600.0,28600,USD,https://jacobandco.com/timepieces/epic-x-bridges/stainless-steel-light-blue
2026-08-13 10:00:13,Epic X Bridges,EX120.10.AE.AA.ABRUA,EX120.10.AE.AA.ABRUA,28600.0,28600,USD,https://jacobandco.com/timepieces/epic-x-bridges/white
2026-08-13 10:00:13,Epic X Bridges,EX120.11.AB.AB.B,EX120.11.AB.AB.B,28600.0,28600,USD,https://jacobandco.com/timepieces/epic-x-bridges/black-steel-black
2026-08-13 10:00:13,Epic X Bridges,EX120.11.AH.AB.A,EX120.11.AH.AB.A,28600.0,28600,USD,https://jacobandco.com/timepieces/epic-x-bridges/black-steel-yellow
2026-08-13 10:00:13,Epic X Bridges,EX120.11.AI.AB.B,EX120.11.AI.AB.B,28600.0,28600,USD,https://jacobandco.com/timepieces/epic-x-bridges/black-steel-orange
2026-08-13 10:00:13,Epic X Bridges,EX120.11.AJ.AB.A,EX120.11.AJ.AB.A,28600.0,28600,USD,https://jacobandco.com/timepieces/epic-x-bridges/black-steel-white
2026-08-13 10:00:13,Epic X Bridges,EX120.43.AB.AB.A40AA,EX120.43.AB.AB.A40AA,230000.0,230000,USD,https://jacobandco.com/timepieces/epic-x-bridges/rose-gold
2026-08-13 10:00:13,Epic X Bridges,EX120.43.AB.AB.ABRUA,EX120.43.AB.AB.ABRUA,90000.0,90000,USD,https://jacobandco.com/timepieces/epic-x-bridges/rose-gold-black
2026-08-13 10:00:13,Epic X Bridges,EX120.43.AC.AC.A,EX120.43.AC.AC.A,90000.0,90000,USD,https://jacobandco.com/timepieces/epic-x-bridges/rose-gold-green
2026-08-13 10:00:13,Epic X Bridges,EX120.43.AC.AC.A40AA,EX120.43.AC.AC.A40AA,230000.0,230000,USD,https://jacobandco.com/timepieces/epic-x-bridges/rose-gold-bracelet-green
2026-08-13 10:00:13,Epic X Bridges,EX120.43.AF.AA.A,EX120.43.AF.AA.A,90000.0,90000,USD,https://jacobandco.com/timepieces/epic-x-bridges/epic-x-bridges-v-2-rose-gold-and-stainless-steel-light-blue-inner-ring
2026-08-13 10:00:13,Epic X Bridges,EX120.43.AF.AA.A40AA,EX120.43.AF.AA.A40AA,230000.0,230000,USD,https://jacobandco.com/timepieces/epic-x-bridges/rose-gold-bracelet-blue
2026-08-13 10:00:13,Epic X Ceramic,EX115.95.AF.AA.A,EX115.95.AF.AA.A,46300.0,46300,USD,https://jacobandco.com/timepieces/epic-x-ceramic/black
2026-08-13 10:00:13,Epic X Ceramic,EX115.95.AI.AA.A,EX115.95.AI.AA.A,46300.0,46300,USD,https://jacobandco.com/timepieces/epic-x-ceramic/blue
2026-08-13 10:00:13,Epic X Ceramic,EX115.95.AI.AA.A95AA,EX115.95.AI.AA.A95AA,49600.0,49600,USD,https://jacobandco.com/timepieces/epic-x-ceramic/blue-bracelet
2026-08-13 10:00:13,Epic X Ceramic,EX115.95.AK.AA.A,EX115.95.AK.AA.A,50000.0,50000,USD,https://jacobandco.com/timepieces/epic-x-ceramic/saudi
